person_id,file_id,file_name,ground_truth1,ground_truth2,ground_truth3,ground_truth4,ground_truth5,ground_truth6,ground_truth7,x,y,Width,Height,Score,Label,备注
1,1,Person1_1,noisemaker,,,,,,,1479,11,1922,1583,0.33861,birdCall,
1,1,Person1_1,noisemaker,,,,,,,2554,313,955,888,0.28139,eyeball,
1,1,Person1_1,noisemaker,,,,,,,1855,1724,578,1079,0.34569,pinkCandle,
1,1,Person1_1,noisemaker,,,,,,,14,666,1465,2309,0.42683,pumpkinNotes,
1,1,Person1_1,noisemaker,,,,,,,1560,1301,1197,615,0.32564,blueSunglasses,
1,1,Person1_1,noisemaker,,,,,,,14,464,1775,2268,0.38394,yellowBag,
1,2,Person1_2,rainbowPens,,,,,,,1828,414,1210,1492,0.26762,cloudSign,
1,2,Person1_2,rainbowPens,,,,,,,14,908,1412,1019,0.28889,eyeball,
1,2,Person1_2,rainbowPens,,,,,,,3320,1150,578,938,0.33001,pinkCandle,
1,2,Person1_2,rainbowPens,,,,,,,1775,968,1291,857,0.28935,redWhistle,
1,2,Person1_2,rainbowPens,,,,,,,2984,242,1062,2712,0.42644,sign,
1,2,Person1_2,rainbowPens,,,,,,,14,11,2688,1744,0.31146,yellowBag,
1,3,Person1_3,null,,,,,,,726,928,1721,1321,0.32367,birdCall,
1,3,Person1_3,null,,,,,,,14,646,1425,1452,0.28574,cloudSign,
1,3,Person1_3,null,,,,,,,847,1785,888,545,0.25623,eyeball,
1,3,Person1_3,null,,,,,,,14,11,1721,1684,0.42761,partyFavor,
1,3,Person1_3,null,,,,,,,1721,807,256,1190,0.42671,pinkCandle,
1,3,Person1_3,null,,,,,,,1076,1331,1533,1402,0.41137,redWhistle,
1,3,Person1_3,null,,,,,,,2473,111,1103,2531,0.55821,sign,
1,3,Person1_3,null,,,,,,,1237,1402,1250,414,0.26772,blueSunglasses,
1,4,Person1_4,miniCards,,,,,,,888,10,998,1396,0.34821,cloudSign,
1,4,Person1_4,miniCards,,,,,,,1029,436,746,634,0.26827,eyeball,
1,4,Person1_4,miniCards,,,,,,,1281,585,222,743,0.31071,pinkCandle,
1,4,Person1_4,miniCards,,,,,,,2087,446,777,2535,0.25358,sign,
1,4,Person1_4,miniCards,,,,,,,1200,733,827,396,0.38178,blueSunglasses,
1,4,Person1_4,miniCards,,,,,,,11,802,1744,2178,0.51116,yellowBag,
1,5,Person1_5,null,,,,,,,2030,756,296,877,0.34666,pinkCandle,
1,5,Person1_5,null,,,,,,,1922,605,1049,1210,0.28204,hairClip,
1,6,Person1_6,miniCards,yellowBalloon,,,,,,417,1422,1734,1613,0.44286,birdCall,
1,6,Person1_6,miniCards,yellowBalloon,,,,,,498,11,955,837,0.28697,cloudSign,
1,6,Person1_6,miniCards,yellowBalloon,,,,,,2299,1926,861,706,0.27365,eyeball,
1,6,Person1_6,miniCards,yellowBalloon,,,,,,14,11,1492,827,0.39516,metalKey,
1,6,Person1_6,miniCards,yellowBalloon,,,,,,2890,1966,269,1039,0.49738,pinkCandle,
1,6,Person1_6,miniCards,yellowBalloon,,,,,,202,1220,2151,1815,0.49754,pumpkinNotes,
1,6,Person1_6,miniCards,yellowBalloon,,,,,,1909,444,1076,2591,0.4938,sign,
1,7,Person1_7,yellowBalloon,,,,,,,2043,1109,1358,615,0.25584,eyeball,
1,7,Person1_7,yellowBalloon,,,,,,,1600,384,1707,1986,0.50089,pumpkinNotes,
1,7,Person1_7,yellowBalloon,,,,,,,310,11,820,1795,0.53331,sign,
1,7,Person1_7,yellowBalloon,,,,,,,14,202,2043,1916,0.41412,silverStraw,
1,7,Person1_7,yellowBalloon,,,,,,,1775,414,1385,1986,0.41576,yellowBalloon,
1,7,Person1_7,yellowBalloon,,,,,,,1869,646,1183,1573,0.32095,hairClip,
1,8,Person1_8,trophy,,,,,,,1156,706,1465,1371,0.34688,birdCall,
1,8,Person1_8,trophy,,,,,,,1560,736,1183,1281,0.34394,cloudSign,
1,8,Person1_8,trophy,,,,,,,1129,1008,901,807,0.3245,eyeball,
1,8,Person1_8,trophy,,,,,,,1076,726,1600,1351,0.4062,metalKey,
1,8,Person1_8,trophy,,,,,,,1224,1170,1304,484,0.33216,blueSunglasses,
1,8,Person1_8,trophy,,,,,,,2460,11,1129,817,0.36974,hairClip,
1,8,Person1_8,trophy,,,,,,,3065,91,457,444,0.30791,lavenderDie,
1,8,Person1_8,trophy,,,,,,,1896,11,2151,2067,0.29958,yellowBag,
1,9,Person1_9,trophy,,,,,,,1533,877,1264,1049,0.30878,metalKey,
1,9,Person1_9,trophy,,,,,,,1936,1160,417,464,0.5115,lavenderDie,
1,9,Person1_9,trophy,,,,,,,14,424,1949,1926,0.31167,yellowBag,
1,10,Person1_10,vancouverCards,,,,,,,14,1704,1654,1331,0.31486,birdCall,
1,10,Person1_10,vancouverCards,,,,,,,1385,595,941,756,0.34418,eyeball,
1,10,Person1_10,vancouverCards,,,,,,,1654,414,484,1129,0.47155,pinkCandle,
1,10,Person1_10,vancouverCards,,,,,,,1210,11,1331,2349,0.26367,sign,
1,10,Person1_10,vancouverCards,,,,,,,1600,938,1116,474,0.25055,blueSunglasses,
1,10,Person1_10,vancouverCards,,,,,,,2245,1583,377,444,0.35128,lavenderDie,
1,10,Person1_10,vancouverCards,,,,,,,1936,11,2111,2137,0.34441,yellowBag,
1,11,Person1_11,pinkEraser,,,,,,,2904,1371,1143,1301,0.31746,birdCall,
1,11,Person1_11,pinkEraser,,,,,,,162,11,1721,1654,0.32551,cupcakePaper,
1,11,Person1_11,pinkEraser,,,,,,,619,11,780,1906,0.37005,sign,
2,1,Person2_1,noisemaker,yellowBalloon,,,,,,1301,1586,1502,2258,0.29582,birdCall,
2,1,Person2_1,noisemaker,yellowBalloon,,,,,,1543,283,565,955,0.25087,eyeball,
2,1,Person2_1,noisemaker,yellowBalloon,,,,,,1160,14,1744,2998,0.46793,pumpkinNotes,
2,1,Person2_1,noisemaker,yellowBalloon,,,,,,1563,2366,918,1250,0.50576,redWhistle,
2,1,Person2_1,noisemaker,yellowBalloon,,,,,,1079,14,1573,2527,0.26463,yellowBalloon,
2,2,Person2_2,metalKey,,,,,,,1472,1680,1129,2030,0.42798,cloudSign,
2,2,Person2_2,metalKey,,,,,,,1200,1425,837,888,0.62058,eyeball,
2,2,Person2_2,metalKey,,,,,,,575,1640,1220,1600,0.44601,metalKey,
2,2,Person2_2,metalKey,,,,,,,1674,2191,283,1076,0.33132,pinkCandle,
2,2,Person2_2,metalKey,,,,,,,1008,1546,797,592,0.26218,blueSunglasses,
2,2,Person2_2,metalKey,,,,,,,11,1721,1432,2326,0.34509,yellowBag,
2,3,Person2_3,blueSunglasses,brownDie,,,,,,1506,1230,1291,1613,0.28787,birdCall,
2,3,Person2_3,blueSunglasses,brownDie,,,,,,1936,1281,968,676,0.28532,eyeball,
2,3,Person2_3,blueSunglasses,brownDie,,,,,,1049,252,1667,1845,0.30188,metalKey,
2,3,Person2_3,blueSunglasses,brownDie,,,,,,1909,1714,498,1119,0.29134,pinkCandle,
2,3,Person2_3,blueSunglasses,brownDie,,,,,,1439,1019,1412,756,0.48097,blueSunglasses,
2,3,Person2_3,blueSunglasses,brownDie,,,,,,1076,474,1035,1049,0.81155,hairClip,
2,3,Person2_3,blueSunglasses,brownDie,,,,,,14,1129,2232,1906,0.29046,yellowBag,
2,4,Person2_4,noisemaker,,,,,,,11,2111,1654,1936,0.26672,birdCall,
2,4,Person2_4,noisemaker,,,,,,,605,2850,736,1197,0.3098,cloudSign,
2,4,Person2_4,noisemaker,,,,,,,11,1250,1019,2796,0.27123,cupcakePaper,
2,4,Person2_4,noisemaker,,,,,,,636,928,2400,3038,0.63847,noisemaker,
2,4,Person2_4,noisemaker,,,,,,,1220,2312,363,1412,0.2627,pinkCandle,
2,4,Person2_4,noisemaker,,,,,,,283,269,938,3696,0.38132,sign,
2,5,Person2_5,lavenderDie,brownDie,metalKey,spiderRing,,,,1156,504,2043,1744,0.38039,birdCall,
2,5,Person2_5,lavenderDie,brownDie,metalKey,spiderRing,,,,1990,686,1465,1381,0.40003,cloudSign,
2,5,Person2_5,lavenderDie,brownDie,metalKey,spiderRing,,,,1049,585,1076,746,0.45715,eyeball,
2,5,Person2_5,lavenderDie,brownDie,metalKey,spiderRing,,,,874,867,1963,1512,0.42889,metalKey,
2,5,Person2_5,lavenderDie,brownDie,metalKey,spiderRing,,,,1304,484,552,968,0.47304,pinkCandle,
2,5,Person2_5,lavenderDie,brownDie,metalKey,spiderRing,,,,1129,686,1506,1472,0.32122,trophy,
2,5,Person2_5,lavenderDie,brownDie,metalKey,spiderRing,,,,834,1543,1492,585,0.43105,blueSunglasses,
2,5,Person2_5,lavenderDie,brownDie,metalKey,spiderRing,,,,2218,877,982,1089,0.3549,hairClip,
2,5,Person2_5,lavenderDie,brownDie,metalKey,spiderRing,,,,2016,1109,2030,1875,0.38793,yellowBag,
2,6,Person2_6,brownDie,blueSunglasses,yellowBalloon,metalKey,noisemaker,lavenderDie,,1321,1627,1482,2205,0.43259,birdCall,
2,6,Person2_6,brownDie,blueSunglasses,yellowBalloon,metalKey,noisemaker,lavenderDie,,384,941,1623,2984,0.40529,pumpkinNotes,
